business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 34.1270387, 'lng': -117.8233495}, 'viewport': {'northeast': {'lat': 34.12832852989272, 'lng': -117.8221338201073}, 'southwest': {'lat': 34.12562887010728, 'lng': -117.8248334798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,PBS Engineers,,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101026296084553328438"">Charles Cruz</a>'], 'photo_reference': 'AWU5eFhUrwmXPnJpx7QJb723GD3g3jHFrfvZdWbR7pgw193LgOUwGFVFRG7E6wlSCY08I582s1tSCo1PrR8dhCb69Oh6NXB1XNx-f_V7BnlpFw54JWzFUnfwpSvgOUOqFd2Ma__zSgILE6_XuuRFWYl-G38gWjYERja9NKLKlYQQW22VJjsI', 'width': 4000}]",ChIJ2yG07lYvw4ARP1vUT_yn4TA,"{'compound_code': '45GG+PH Glendora, California', 'global_code': '856445GG+PH'}",4.9,ChIJ2yG07lYvw4ARP1vUT_yn4TA,GOOGLE,"['point_of_interest', 'establishment']",9,"2100 E Rte 66, Glendora"
OPERATIONAL,"{'location': {'lat': 33.8872383, 'lng': -117.5619414}, 'viewport': {'northeast': {'lat': 33.88855887989272, 'lng': -117.5604220701073}, 'southwest': {'lat': 33.88585922010728, 'lng': -117.5631217298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Goss Engineering, Inc",{'open_now': True},,ChIJj30rYRHI3IARR3hvfGUnO3c,"{'compound_code': 'VCPQ+V6 Corona, California', 'global_code': '8554VCPQ+V6'}",4.8,ChIJj30rYRHI3IARR3hvfGUnO3c,GOOGLE,"['point_of_interest', 'establishment']",5,"255 E Rincon St STE 301, Corona"
OPERATIONAL,"{'location': {'lat': 33.9752269, 'lng': -117.485044}, 'viewport': {'northeast': {'lat': 33.97647757989272, 'lng': -117.4836804201072}, 'southwest': {'lat': 33.97377792010727, 'lng': -117.4863800798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,McPherson Engineering,{'open_now': True},"[{'height': 492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106200831459165791484"">McPherson Engineering</a>'], 'photo_reference': 'AWU5eFjlUJklN_Vj17BYhWH6RhxVxeMarc-R6MNZvjeXdBDAntNUWG8PxpF5E9OnhNvagHcUf2r3ihR5HE9JyOudSKipOlX0qOkrZlfmGDk02Hj6JkakhoeLEmSpA3cHCAiUom7sM5jXMF-gTz2B5t0rt9XMEYKmnkaiYKH3ZuGycRYhdAit', 'width': 749}]",ChIJ73LvH9s1w4ARdUKboknf6Bg,"{'compound_code': 'XGG7+3X Jurupa Valley, California', 'global_code': '8554XGG7+3X'}",5.0,ChIJ73LvH9s1w4ARdUKboknf6Bg,GOOGLE,"['point_of_interest', 'establishment']",6,"9240 Limonite Ave, Jurupa Valley"
OPERATIONAL,"{'location': {'lat': 34.0103004, 'lng': -117.6801439}, 'viewport': {'northeast': {'lat': 34.01163467989272, 'lng': -117.6788135701073}, 'southwest': {'lat': 34.00893502010728, 'lng': -117.6815132298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Transtech Engineers,{'open_now': True},"[{'height': 4048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100339144136498218020"">Tori McQuiston</a>'], 'photo_reference': 'AWU5eFie3UB5rvGbV1UiIUi62prqvO1X02AEwhwCE_676sZw9xwcVXOX6sKQTc7FjOHvHqvgAHwWI1Xq6n3b6JiWi5MGsmU1Q0-daj7bY4aowASHKrIa3kDvVAp3BHCiwh8v2KtmDgiGk7bLJZN367wJcK1TGZpe2p3v085LmY0W9KSUDHvQ', 'width': 3036}]",ChIJLfapgJwrw4ARrmVoJj3C4lQ,"{'compound_code': '2869+4W Chino, California', 'global_code': '85642869+4W'}",4.8,ChIJLfapgJwrw4ARrmVoJj3C4lQ,GOOGLE,"['point_of_interest', 'establishment']",5,"13367 Benson Ave, Chino"
OPERATIONAL,"{'location': {'lat': 33.8543121, 'lng': -117.5370168}, 'viewport': {'northeast': {'lat': 33.85554052989272, 'lng': -117.5356247701073}, 'southwest': {'lat': 33.85284087010728, 'lng': -117.5383244298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Inland Engineering Services,{'open_now': True},"[{'height': 404, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101302331883542604063"">101302331883542604063</a>'], 'photo_reference': 'AWU5eFgHbe4AzhQVZ3xX20iLZHT9c4DWCU5RB9G5R7AXH1BrOpI45wEnzxmICUS_1uJdj8hYhp_68CKnyGwdCOlJL4K-7X-A4mjhejlEuTTt9-ZxnPCdkJYQQfxTClmBPGpLqsVoU9bPkOvfvkO5i4hFa65CbGLfk03l12v4BSiCbfMdV33Z', 'width': 514}]",ChIJ0cRT1eC43IAR1TARHf26a1o,"{'compound_code': 'VF37+P5 Corona, California', 'global_code': '8554VF37+P5'}",4.5,ChIJ0cRT1eC43IAR1TARHf26a1o,GOOGLE,"['point_of_interest', 'establishment']",6,"1373 Old Temescal Rd, Corona"
OPERATIONAL,"{'location': {'lat': 33.8785275, 'lng': -117.5891726}, 'viewport': {'northeast': {'lat': 33.87988062989272, 'lng': -117.5878603701073}, 'southwest': {'lat': 33.87718097010728, 'lng': -117.5905600298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Advanced Professional Engineering Consultants, Inc.",{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114772976417707537631"">Advanced Professional Engrng</a>'], 'photo_reference': 'AWU5eFjatRoqQF1zTMkR8jSba9-3kF-QbSAT8uuq7LdG1f5bmTmeq1qg7y3BmmWYWZhuYjbfTMWStTKerjvQtEYOm3O9X-qjIRdLvV5rRy5zQMS8ClVgp7ZAAz5vbwN6DzvehSjy_Jvb2G0ah-G_6MGryrxCSOYEv4kmgUpHOPOZt689A-gc', 'width': 2048}]",ChIJU11JthjI3IARa0o_AMBK7AY,"{'compound_code': 'VCH6+C8 Corona, California', 'global_code': '8554VCH6+C8'}",4.0,ChIJU11JthjI3IARa0o_AMBK7AY,GOOGLE,"['point_of_interest', 'establishment']",8,"1307 W 6th St # 214, Corona"
OPERATIONAL,"{'location': {'lat': 33.879101, 'lng': -117.5669649}, 'viewport': {'northeast': {'lat': 33.88051382989272, 'lng': -117.5655644701073}, 'southwest': {'lat': 33.87781417010728, 'lng': -117.5682641298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Proactive Engineering & Surveying Consultants - Land Development Team,{'open_now': True},"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114321771397897566475"">Proactive Engineering Consultants</a>'], 'photo_reference': 'AWU5eFhna5qG8ldVbsjja0cJnuMNtmg9p4GZWOIJBhmNlLT6_qt77spIM6uzAOuz1wFMQlfyqHtACQvSfAXnaOyrF57P6coDl7E6dBUSpCRfj5ouSz4t_ApvuNeIL6iRlYWTpqkxssoN8FcitYQEObZek4AGWHPi4v09a_JaGfcPAfBK2WIj', 'width': 800}]",ChIJVcrM6A243IARIcGyloI06zA,"{'compound_code': 'VCHM+P6 Corona, California', 'global_code': '8554VCHM+P6'}",4.7,ChIJVcrM6A243IARIcGyloI06zA,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']",6,"200 S Main St STE 300, Corona"
OPERATIONAL,"{'location': {'lat': 33.8562961, 'lng': -117.5415741}, 'viewport': {'northeast': {'lat': 33.85764607989272, 'lng': -117.5401545701073}, 'southwest': {'lat': 33.85494642010728, 'lng': -117.5428542298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Kaiser Engineering,,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115540208255027721726"">Lucio Gutierrez</a>'], 'photo_reference': 'AWU5eFjiolj1M_kabNcLjPAhzWPYYhFr8IbsoQmkAr0jYoyw13CPpe7GNFn4q5bfj-Q67zjwT9qBV0YK4TcukktG3LHl_qZx-4tW1A4zGKA11ar4nBq19P1_Fr8CVGY2-1MOA6zHz7oGMimPL_iNAktCy7VVxBgvg3UvJPFLaRZxDzDsQ3Kp', 'width': 2988}]",ChIJ-4znYA643IAR4ouxjGVhXlY,"{'compound_code': 'VF45+GF Corona, California', 'global_code': '8554VF45+GF'}",5.0,ChIJ-4znYA643IAR4ouxjGVhXlY,GOOGLE,"['point_of_interest', 'establishment']",9,"1850 California Ave, Corona"
OPERATIONAL,"{'location': {'lat': 34.0955135, 'lng': -117.8669455}, 'viewport': {'northeast': {'lat': 34.09688317989272, 'lng': -117.8657579701073}, 'southwest': {'lat': 34.09418352010728, 'lng': -117.8684576298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,SEIZMIC INC.,{'open_now': True},"[{'height': 3216, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110176892966504815990"">A Google User</a>'], 'photo_reference': 'AWU5eFiLABq7Jn34yeotQARroCaE9SezqwmN1-NEbC731WdldewTPX3r7MYZNfkPFgPj8SQKXmrEn_2Ir04kjnXB929Ue_-oCM4z2n6LaZgInFNk-fCm58-bUeFcPdFCicbS00xD7ntihi-V5dGTnNtvgJdVOTJXmhGwhvaYDwZ4LoTvxgW2', 'width': 3500}]",ChIJS5NEuZ0uw4ARnoHQpLpBRQM,"{'compound_code': '34WM+56 Covina, California', 'global_code': '856434WM+56'}",5.0,ChIJS5NEuZ0uw4ARnoHQpLpBRQM,GOOGLE,"['point_of_interest', 'establishment']",9,"1130 Cypress St, Covina"
OPERATIONAL,"{'location': {'lat': 33.8722535, 'lng': -117.4756279}, 'viewport': {'northeast': {'lat': 33.87363722989272, 'lng': -117.4742121201073}, 'southwest': {'lat': 33.87093757010728, 'lng': -117.4769117798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,A To z Engineering Inc,,,ChIJD-Lx3j253IARgYp3LcyuMwk,"{'compound_code': 'VGCF+VP Riverside, California', 'global_code': '8554VGCF+VP'}",5.0,ChIJD-Lx3j253IARgYp3LcyuMwk,GOOGLE,"['point_of_interest', 'establishment']",10,"17079 Broken Rock Ct, Riverside"
OPERATIONAL,"{'location': {'lat': 33.8524786, 'lng': -117.8680083}, 'viewport': {'northeast': {'lat': 33.85370992989272, 'lng': -117.8666171201073}, 'southwest': {'lat': 33.85101027010727, 'lng': -117.8693167798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Paulus Engineering Inc,,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116611561291080305335"">Jason Paulus</a>'], 'photo_reference': 'AWU5eFgtHKXUN467BrbXtsiio3FVP216PQUo_ljnlTZkfw_OieuleecV58LXo42Wo6DnWui5tDKql4Y7g2d0Hc_d5YAccbitSwmOoCgnOQshx10BDX7u-frOTGdLRun3aeT_ntJPbRjkLhYtH_-RjabrheqYEMgH45kt-Lak5ccqF-eUIpMi', 'width': 4000}]",ChIJ4RrANI3W3IARZFxoaO60INg,"{'compound_code': 'V42J+XQ Anaheim, California', 'global_code': '8554V42J+XQ'}",4.4,ChIJ4RrANI3W3IARZFxoaO60INg,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']",14,"2871 E Coronado St, Anaheim"
OPERATIONAL,"{'location': {'lat': 34.0377036, 'lng': -117.5100016}, 'viewport': {'northeast': {'lat': 34.03889472989272, 'lng': -117.5086514201073}, 'southwest': {'lat': 34.03619507010728, 'lng': -117.5113510798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Aqua-Serv Engineers Inc,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103980870497362614238"">Rafael Garcia</a>'], 'photo_reference': 'AWU5eFgdGWqC3o8SiU_TaWpmJIr2KjjrZPMDIFQPyhpSlqN6KLLaLVRMucXiNS6HWW7M8RxemQO5NKozpmH7s0R3bk11v6Ic2P9Pd4VFMw7pGh4JZ_o7o3h8Okz_h0IPV5Ixv-cSd8w7jN6esLYTph3df92Sj_B7TzTjOT_Tb_PJ3ighWnL5', 'width': 4032}]",ChIJl675JCy13IARzCKtJraoJ6I,"{'compound_code': '2FQQ+3X Fontana, California', 'global_code': '85642FQQ+3X'}",4.0,ChIJl675JCy13IARzCKtJraoJ6I,GOOGLE,"['point_of_interest', 'establishment']",8,"13560 Colombard Ct, Fontana"
OPERATIONAL,"{'location': {'lat': 34.0967352, 'lng': -117.5992573}, 'viewport': {'northeast': {'lat': 34.09804092989273, 'lng': -117.5979082701073}, 'southwest': {'lat': 34.09534127010728, 'lng': -117.6006079298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,A G Engineering Inc,,,ChIJF98E9Cw0w4ARhzwe8Yxrcsk,"{'compound_code': '3CW2+J7 Rancho Cucamonga, California', 'global_code': '85643CW2+J7'}",5.0,ChIJF98E9Cw0w4ARhzwe8Yxrcsk,GOOGLE,"['point_of_interest', 'establishment']",5,"8647 Helms Ave #4521, Rancho Cucamonga"
OPERATIONAL,"{'location': {'lat': 34.0880324, 'lng': -117.5405132}, 'viewport': {'northeast': {'lat': 34.08938317989272, 'lng': -117.5391732701073}, 'southwest': {'lat': 34.08668352010728, 'lng': -117.5418729298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lanic Engineering Inc,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111798579042991614238"">cindy l</a>'], 'photo_reference': 'AWU5eFhW6D0yHyX_Tyt4_nBFzR_i2FbJF7Insqz1idgFFLfL40HBt0TA52MxOrt1BJGdBpqsX_3kL9ntRBg26COFKgke3cYSLjNfPFCqf2CksaRguOWkFnZH_Roa_j_lByIOID1xq6pBI-jtSdnSLSqGNKfErVYxbFvVpCsVL9fPYfol7foz', 'width': 4032}]",ChIJHc21YXBKw4ARxzm2Oe5tc-o,"{'compound_code': '3FQ5+5R Rancho Cucamonga, California', 'global_code': '85643FQ5+5R'}",4.9,ChIJHc21YXBKw4ARxzm2Oe5tc-o,GOOGLE,"['general_contractor', 'point_of_interest', 'establishment']",9,"12144 6th St, Rancho Cucamonga"
